9C8E7E3C4052AA2E0F08A4366D3AE7AEDA6D235FC3918998193D0C0F7202BAE9,%SYSTEM32%\MMC.EXE,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
B6A61F4026C338E0AAECB6E593B8FD7C2D0757CB1A1DB279BCFC21A882F52F06,%SYSTEM32%\SECUR32.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
0202C1BDB90DE2B662F066DD182F11EE6B90BA66FAFA536051AC10F372321396,%SYSTEM32%\SFC_OS.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
5E78F841083FA1D6A44121519C037645C8953BE55CB96BFB3F8912A01EBF0F53,%SYSTEM32%\PCACLI.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
6B13954B303F02A55A9AE8EAC81615755B60E6CA87C7100DF54DF48F4FC9FF5A,%SYSTEM32%\EVENTVWR.EXE,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
46BEA9A064C5883592F7CE0559A08760AE4A4A96318D3D8A82A3EBAF3B558030,%SYSTEM32%\IEFRAME.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
6F6121080EECFD2EC7AC1C124864B2C95631E4C372BB2881553EA0697C9BCB84,%SYSTEM32%\PROPSYS.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
2657754B4232C081CDFF44B0781B23E4149D4D51D1F5382421DD52258387D784,%SYSTEM32%\CLBCATQ.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
ED3EC28AED1C7B10BF9879768227315FFAA732D77D76845732C049303BFD2035,%SYSTEM32%\UXTHEME.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
D08048DDAEB3C5FAE73FFF5BE2E435F5BAD79BE030C054EB65F60C0FB1B592D7,%SYSTEM32%\KERNEL.APPCORE.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
A845BBCFECBB74E7637E91D736D3FC3C2A51CDBC6FA70A25C5F18BB44467143E,%SYSTEM32%\MSIMG32.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
F0B7BFFF5976DD5B28A0A624054BD00A6E890B50881EE72E02A2EAC6DCAAD48C,%PROGRAMFILES%\NOTEPAD++\SCILEXER.DLL,
A5E72429EEC1B3A7D74FDA423FD35C7F9832C10130FE4E5696ADA29146F90715,%SYSTEM32%\IMM32.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
ECAA532E09CC2EDD4836C1F07C64E11A55AADD34AC2F4F940FD77DAF546A2284,%SYSTEM32%\SHCORE.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
3ECC9D3FD037A201BA2755383D9CAFDD1FE6DEDA0239DE72E98B0E8AFEF16A37,%SYSTEM32%\COMBASE.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
74E6B3253847F838F0BF12F6D8FF15E5F72EDF8AD3204978B7930311109B966B,%WINDIR%\WINSXS\X86_MICROSOFT.WINDOWS.COMMON-CONTROLS_6595B64144CCF1DF_6.0.9600.16384_NONE_A9F4965301334E09\COMCTL32.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
30C8D054F282639839A35C4570D5BAB5C04121176F5F562A0ADA68D1AAA5118A,%PROGRAMFILES%\NOTEPAD++\NOTEPAD++.EXE,
51494080E104666BDB635E4F19CC99CD118D1A4455B34B9819A5F158609EBF14,%SYSTEM32%\MYDOCS.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
BF7E0EDD2D98D431BDDBA522F4EB9B789E766D81B2B304467F4D2E40ABA4C847,%SYSTEM32%\SENDMAIL.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
411E3874EC996458ABFA764A3B74688CD67D2FE4C5031B7CB732B8C73CFB6675,%SYSTEM32%\ZIPFLDR.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
AA496196FF651FE43C672007F8651A9A8BABB1B119BF62850D2DD1D8D04FA8DA,%SYSTEM32%\NETAPI32.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
496AFDFA30C2EE5BAFBCE45FADF5002D6B03FAE856924B2F1EDED3E7A390FA41,%SYSTEM32%\WEBSERVICES.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
37E2C7E11E7FCA3E34B57744BD640BBBC2765FA0D209641BA90C9FFC6B361D0C,%SYSTEM32%\TBS.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
D56EABC750BDF4C2EFAE2393A090780263105E88F329D396BB5231B653A4DE6E,%SYSTEM32%\APPREPAPI.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
A9D86A38BEA657FD194351269FB3434DB5D1D4D12EBEB39D02D6416E0AB3153D,%SYSTEM32%\APPREPSYNC.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
A97FCCC0CA5E32718FDF79B31BB4D1EB36821B5CBABAE93747D53EC35D229CF0,%SYSTEM32%\USER32.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
7CBAFCA11D12E2A2EFA2969E5B52FD1A7C19A594964E041FC534C107D7AC461A,%SYSTEM32%\TASKHOST.EXE,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
17D8D0EDD12554C2BBC910F425C90503ACEB8BE9E99C189ECBE4B86036E53D36,%SYSTEM32%\FAULTREP.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
33D4051FB2459A810AB212669E0818CBBFF927CFFB3C47B6CD5C173F991985CA,%SYSTEM32%\WER.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
56022FDA8C2D26A967ED30A4ED3CDE993D2C8164E3BEBC631AE692321773AFCA,%SYSTEM32%\WERFAULT.EXE,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
94A112174A4CDDEFA93CAEC3821E1CACC02675D3555F0479A509D90923254865,%SYSTEM32%\WERMGR.EXE,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
BC24A0450284614AFF342534F9C7FA8BFA994BB4E1192A06EFFE4BE68E7DD7E6,%SYSTEM32%\TASKSCHD.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
C69A3D176F414323317EF0D258EEC4D0740F9F1FE6C158D0F42CFB6E926391D3,%SYSTEM32%\RASADHLP.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
C9B6A6F9FEE751F6CE95EEAEE5493DA20DE776DEE2235352883E44C6B2D46ABF,%SYSTEM32%\DNSAPI.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
A888504535F6C71981A457A043F031AAC019ABC4FB67B706E8B7F4F028ECE47D,%SYSTEM32%\URLMON.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
DBAC44A3CFDAC1EED0DB50497B1DDFE28209BD00085EF1C99A0A7056CC3F669C,%SYSTEM32%\WINNSI.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
8CCCF0E6386C624E4554B0EEFDAE76604EE1E0C92A51F2EA33608D46458BACA6,%SYSTEM32%\IPHLPAPI.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
DA0BED4D43FDC0E194BBA5AE9A1C61816CDD54F1CFEBEDABE21BB5CC6EAB725E,%SYSTEM32%\MSWSOCK.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
7167D9BF0D47D4C652757B2D533CA788F39FC627A33A3392C2879C3C884FA0DE,%SYSTEM32%\WINHTTP.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
5C68D82AE4296EEF4752E916F197A36A4D2A004C5BFB527AD028737254D04FDE,%SYSTEM32%\ONDEMANDCONNROUTEHELPER.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
2988ACCCA1C1973DD895654D86747BA9158EB92A7E8C5290FEA4D96B10AE857E,%SYSTEM32%\PROFAPI.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
7AF529FB13C53AC796A582C3A492BAE2633F33DE9FF106D57ECB0FF77F0E53E2,%SYSTEM32%\SECUR32.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
7CA5E939EE1F89E639C53F44F3F9CD93B51519C4F22E59C64FA33F4D9CEE098A,%SYSTEM32%\WSOCK32.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
